Date,Week,Inspections_Conducted,Inspections_Passed,Inspection_Pass_Rate_Pct,Punch_List_Items,Rework_Cost
2024-01-21,1,6,6,100.0,13,10302.3
2024-01-28,2,7,7,100.0,9,10842.32
2024-02-04,3,7,7,100.0,13,2710.88
2024-02-11,4,8,8,100.0,17,12068.72
2024-02-18,5,10,9,90.0,14,6719.39
2024-02-25,6,5,5,100.0,21,7776.66
2024-03-03,7,6,5,83.3,11,3794.45
2024-03-10,8,11,11,100.0,21,9668.37
2024-03-17,9,11,9,81.8,12,4608.72
2024-03-24,10,12,11,91.7,12,3455.46
2024-03-31,11,5,4,80.0,4,10964.61
2024-04-07,12,7,4,57.1,19,8649.38
2024-04-14,13,4,4,100.0,17,10753.59
2024-04-21,14,5,4,80.0,23,11969.79
2024-04-28,15,9,7,77.8,14,6131.9
2024-05-05,16,3,1,33.3,24,10792.8
2024-05-12,17,8,8,100.0,17,9885.04
2024-05-19,18,3,3,100.0,9,12710.1
2024-05-26,19,10,10,100.0,15,8037.78
2024-06-02,20,5,4,80.0,14,9475.76
2024-06-09,21,8,6,75.0,15,8907.04
2024-06-16,22,6,5,83.3,19,12105.89
2024-06-23,23,4,4,100.0,13,9209.36
2024-06-30,24,9,9,100.0,13,7425.4
2024-07-07,25,4,4,100.0,10,11358.72
2024-07-14,26,8,8,100.0,12,9616.73
2024-07-21,27,10,10,100.0,16,5277.31
2024-07-28,28,8,6,75.0,16,10280.75
2024-08-04,29,11,7,63.6,16,14226.2
2024-08-11,30,10,9,90.0,18,5450.47
2024-08-18,31,10,8,80.0,16,10506.7
2024-08-25,32,9,9,100.0,11,7599.8
2024-09-01,33,5,4,80.0,16,7506.39
2024-09-08,34,6,6,100.0,12,6885.68
2024-09-15,35,3,3,100.0,16,9332.79
2024-09-22,36,8,8,100.0,11,1490.37
2024-09-29,37,7,6,85.7,12,10948.07
2024-10-06,38,7,7,100.0,18,8554.51
2024-10-13,39,12,10,83.3,23,3289.33
2024-10-20,40,5,4,80.0,8,10044.5
